sentença,julgamento,julgamento_2,dano_moral_individual,faixa_dano_moral_individual,data_julgamento,juiz,tipo_juiz,direito_de_arrependimento,descumprimento_de_oferta,extravio_definitivo,extravio_temporário,intervalo_extravio_temporário,faixa_intervalo_extravio_temporário,violação_furto_avaria,cancelamento/alteração_destino,atraso,intervalo_atraso,faixa_intervalo_atraso,culpa_exclusiva_consumidor,condições_climáticas/fechamento_aeroporto,noshow,overbooking,assistência_cia_aérea,hipervulnerável
413,improcedente,-,R$ 0.00,0,08/05/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,-,S
414,total_procedente,-,"R$ 5,000.00",3,08/04/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
415,total_procedente,-,"R$ 12,000.00",6,08/04/2016,Rudson Marcos,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,N,N
416,parcial_procedente,-,"R$ 2,500.00",2,04/04/2016,Rudson Marcos,Titular,N,N,N,N,-,0,S,N,S,04:00:00,2,N,N,N,N,-,N
417,parcial_procedente,-,"R$ 8,000.00",4,25/01/2016,Davidson Jahn Mello,Titular,N,N,N,S,2,2,N,N,S,10:00:00,3,N,N,N,N,N,N
418,total_procedente,-,"R$ 3,000.00",2,26/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
419,total_procedente,-,"R$ 8,000.00",4,28/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,21:35:00,5,N,N,N,N,-,N
420,total_procedente,-,"R$ 8,000.00",4,27/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,N,N
421,parcial_procedente,-,"R$ 1,000.00",1,27/01/2016,Davidson Jahn Mello,Titular,N,N,N,S,1,1,N,N,S,01:00:00,1,N,N,N,N,,
422,total_procedente,-,"R$ 8,000.00",4,29/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,08:00:00,3,N,N,N,N,,
423,total_procedente,-,"R$ 6,000.00",3,28/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,15:20:00,4,N,N,N,N,,
424,total_procedente,-,"R$ 2,000.00",1,04/02/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,17:00:00,5,N,N,N,N,,
425,total_procedente,-,"R$ 7,500.00",4,15/02/2016,Cleni Serly Rauen Vieira,Substituto,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
426,total_procedente,-,"R$ 10,000.00",5,24/02/2016,Andresa Bernardo,Substituto,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
427,parcial_procedente,-,"R$ 5,000.00",3,22/02/2016,Andresa Bernardo,Substituto,N,N,N,N,-,0,N,N,S,04:25:00,2,N,N,N,N,,
428,total_procedente,-,"R$ 5,000.00",3,22/02/2016,Andresa Bernardo,Substituto,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
429,total_procedente,-,"R$ 5,000.00",3,29/02/2016,Andresa Bernardo,Substituto,N,N,N,N,-,0,N,N,S,03:55:00,1,N,N,N,N,,
430,total_procedente,-,"R$ 15,000.00",6,12/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,S,N,,
431,parcial_procedente,-,"R$ 8,000.00",4,12/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
432,total_procedente,-,"R$ 2,000.00",1,07/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,S,N,-,0,S,N,S,N,,
433,total_procedente,-,"R$ 4,000.00",2,14/01/2016,Davidson Jahn Mello,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
434,total_procedente,-,"R$ 5,000.00",3,18/12/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
435,parcial_procedente,-,"R$ 5,000.00",3,19/11/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
436,improcedente,-,R$ 0.00,0,26/11/2015,Bárbara Gonçalves Dalponte,Leigo,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
437,total_procedente,-,"R$ 15,000.00",6,09/12/2015,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
438,parcial_procedente,-,"R$ 15,000.00",6,10/12/2015,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
439,total_procedente,-,"R$ 5,000.00",3,14/12/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
440,total_procedente,-,"R$ 5,000.00",3,14/12/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
441,total_procedente,-,"R$ 10,000.00",5,14/12/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,22:00:00,5,N,N,N,N,,
442,total_procedente,-,"R$ 8,000.00",4,15/12/2015,Vânia Petermann,Titular,N,N,N,N,1,1,N,N,S,08:00:00,3,N,N,N,N,,
443,total_procedente,-,"R$ 3,000.00",2,15/12/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
444,total_procedente,-,"R$ 3,000.00",2,17/12/2015,Maiara Nuernberg Philippi,Leigo,N,N,N,S,1,1,N,N,S,01:25:00,1,N,N,N,N,,
445,total_procedente,-,"R$ 3,000.00",2,22/10/2015,Davidson Jahn Mello,Titular,N,N,N,S,60,4,N,N,N,-,0,N,N,N,N,,
446,parcial_procedente,-,R$ 0.00,0,05/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
447,total_procedente,-,"R$ 7,000.00",4,02/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
448,total_procedente,-,"R$ 4,000.00",2,10/09/2015,Vânia Petermann,Titular,N,N,N,S,0.5,1,N,N,S,09:00:00,3,N,N,N,N,,
449,total_procedente,-,"R$ 9,000.00",5,09/09/2015,Vânia Petermann,Titular,N,N,N,S,12,4,N,N,N,-,0,N,N,N,N,,
450,total_procedente,-,"R$ 10,000.00",5,09/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
451,total_procedente,-,"R$ 7,000.00",4,09/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
452,total_procedente,-,"R$ 5,000.00",3,09/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
453,total_procedente,-,"R$ 3,000.00",2,09/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,04:00:00,2,N,N,N,N,,
454,total_procedente,-,"R$ 20,000.00",6,04/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
455,total_procedente,-,R$ 0.00,0,10/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
456,total_procedente,-,"R$ 10,000.00",5,06/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,15:00:00,4,N,N,N,N,,
457,total_procedente,-,"R$ 2,000.00",1,01/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,06:00:00,2,N,N,N,N,,
458,total_procedente,-,"R$ 4,000.00",2,01/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
459,total_procedente,-,"R$ 4,500.00",3,15/09/2015,Vânia Petermann,Titular,N,N,N,S,10,4,N,N,N,-,0,N,N,N,N,,
459,total_procedente,-,"R$ 2,000.00",1,15/09/2015,Vânia Petermann,Titular,N,N,N,S,10,4,N,N,N,-,0,N,N,N,N,,
460,parcial_procedente,-,"R$ 15,000.00",6,23/09/2015,Vânia Petermann,Titular,N,N,N,N,-,0,S,N,N,-,0,N,N,N,N,,
461,parcial_procedente,extinto,"R$ 4,000.00",2,09/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
462,total_procedente,-,"R$ 3,000.00",2,16/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,S,,
463,parcial_procedente,-,"R$ 10,000.00",5,19/10/2015,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
464,parcial_procedente,-,"R$ 10,000.00",5,19/10/2015,Vânia Petermann,Titular,N,N,S,N,-,0,N,N,N,-,0,N,N,N,N,,
465,total_procedente,-,"R$ 4,000.00",2,22/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,09:00:00,3,N,N,N,N,,
466,parcial_procedente,-,"R$ 4,000.00",2,26/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
467,total_procedente,-,"R$ 7,000.00",4,26/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
468,total_procedente,-,"R$ 7,000.00",4,26/10/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,11:00:00,3,N,N,N,N,,
469,total_procedente,-,"R$ 10,000.00",5,28/10/2015,Vânia Petermann,Titular,N,N,N,S,7,3,N,N,N,-,0,N,N,N,N,,
470,improcedente,-,R$ 0.00,0,04/11/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,N,-,0,S,N,N,N,,
471,improcedente,-,R$ 0.00,0,09/11/2015,Vânia Petermann,Titular,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
472,total_procedente,-,"R$ 3,000.00",2,23/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
473,parcial_procedente,-,"R$ 2,000.00",1,03/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,S,N,-,0,N,N,N,N,,
474,total_procedente,-,"R$ 5,000.00",3,02/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,S,10:00:00,3,N,N,N,N,,
476,total_procedente,-,"R$ 2,000.00",1,03/06/2015,Iasodara Fin Nishi,Substituto,S,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
477,total_procedente,-,"R$ 5,000.00",3,18/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,S,1,1,N,N,S,00:10:00,1,N,N,N,N,,
478,parcial_procedente,-,R$ 0.00,0,08/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
479,parcial_procedente,-,R$ 0.00,0,08/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
480,total_procedente,-,R$ 0.00,0,09/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,S,,
481,total_procedente,-,"R$ 8,000.00",4,17/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,S,24:00:00,6,N,N,N,N,,
482,improcedente,extinto,R$ 0.00,0,18/06/2015,Iasodara Fin Nishi,Substituto,N,N,N,N,-,0,N,N,N,-,0,N,N,N,N,,
